,Product_Names,Product_Prices,Product_Features
0,"Apple iPhone 11 Pro (Midnight Green, 512 GB)","1,36,900",512 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
1,"Motorola Razr (Black, 128 GB)","1,24,999",6 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Display16MP Rear Camera | 5MP Front Camera2510 mAh BatterySDM710 ProcessorInteractive Quick View DisplayFlippable and Pocket-Ready DesignBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
2,"Motorola Razr (Gold, 128 GB)","1,24,999",6 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Display16MP Rear Camera | 5MP Front Camera2510 mAh BatterySDM710 ProcessorInteractive Quick View DisplayFlippable and Pocket-Ready DesignBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
3,"Apple iPhone 11 Pro (Gold, 256 GB)","1,18,600",256 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
4,"Samsung Galaxy S10 Plus (Ceramic White, 1 TB)","1,17,990",12 GB RAM | 1 TB ROM | Expandable Upto 512 GB16.26 cm (6.4 inch) Quad HD+ Display16MP + 12MP | 10MP + 8MP Dual Front Camera4100 mAh Lithium-ion BatteryExynos 9 9820 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
5,"Apple iPhone 11 Pro Max (Silver, 64 GB)","1,14,400",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
6,"Apple iPhone 11 Pro Max (Midnight Green, 64 GB)","1,14,400",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
7,"Apple iPhone 11 Pro Max (Space Grey, 64 GB)","1,14,400",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
8,"Apple iPhone 11 Pro Max (Gold, 64 GB)","1,14,400",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
9,"Samsung Galaxy Note 20 Ultra 5G (Mystic Bronze, 256 GB)","1,04,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.53 cm (6.9 inch) Quad HD+ Display108MP + 12MP + 12MP | 10MP Front Camera4500 mAh Lithium-ion BatteryExynos Octa Core Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
